cell_F1,cell_P,cell_R,group_acc,exact_profile,validity,n_heldout_cells,n_group_inst,n_wellformed,n_fullobs,arm,protocol,seed,config,shrink,k,tau,rank,l2,n_iter,strict_gold
0.817276742271128,0.8292571775786116,0.8056375442739079,0.7847943498130453,0.7595708040800105,0.9151768236982905,20416,7663,7221,7549,mf_bin,group,44,A,0.5,50,0.35,64,0.02,1200,
0.8064763658686309,0.8399936061381074,0.7755312868949232,0.8392189447444952,0.7917604980792158,1.0,20416,7663,7221,7549,mf_cat,group,44,A,0.5,50,0.35,64,0.02,1200,
0.8075323300310066,0.8206271134337535,0.7948488908739021,0.7751348361222514,0.7522170747849106,0.919874722693462,20417,7663,7231,7555,mf_bin,group,45,A,0.5,50,0.35,64,0.02,1200,
0.8090304623473017,0.8415634550426251,0.7789191603394372,0.8384732402157378,0.7920582395764394,1.0,20417,7663,7231,7555,mf_cat,group,45,A,0.5,50,0.35,64,0.02,1200,
0.8103383879883469,0.8248175182481752,0.7963588313023051,0.7708651576169976,0.7451993113494901,0.9155683152812214,20412,7663,7201,7551,mf_bin,group,46,A,0.5,50,0.35,64,0.02,1200,
0.7995425085779642,0.8316941624365483,0.7697841726618705,0.831412303846688,0.7818831942789034,1.0,20412,7663,7201,7551,mf_cat,group,46,A,0.5,50,0.35,64,0.02,1200,
0.8895439569967055,0.8971668415529905,0.8820495185694636,0.9322687224669604,0.917097758323385,0.9442776980294924,7663,7663,7264,7539,mf_bin,cell,42,A,0.5,50,0.35,64,0.02,1200,
0.0371120107962213,0.9821428571428572,0.0189133425034387,0.6545980176211453,0.6266083034885264,0.9920396711470704,7663,7663,7264,7539,mf_cat,cell,42,A,0.5,50,0.35,64,0.02,1200,
0.8931544080176661,0.9062392278524648,0.8804420629604822,0.9328090507726268,0.9188079470198676,0.9414067597546651,7663,7663,7248,7550,mf_bin,cell,43,A,0.5,50,0.35,64,0.02,1200,
0.0316309719934102,0.979591836734694,0.0160750167448091,0.6436258278145696,0.6156291390728477,0.9913871851755188,7663,7663,7248,7550,mf_cat,cell,43,A,0.5,50,0.35,64,0.02,1200,
0.8822684852835606,0.8964259664478483,0.8685512367491166,0.931063122923588,0.9161581321305386,0.9402322850058724,7663,7663,7224,7538,mf_bin,cell,44,A,0.5,50,0.35,64,0.02,1200,
0.0394736842105263,0.9827586206896552,0.0201413427561837,0.6688815060908084,0.6377023083045901,0.9915176823698292,7663,7663,7224,7538,mf_cat,cell,44,A,0.5,50,0.35,64,0.02,1200,
0.8913895993179881,0.9104841518634622,0.8730794923179692,0.932732316227462,0.917097758323385,0.9390578102570796,7663,7663,7210,7539,mf_bin,cell,45,A,0.5,50,0.35,64,0.02,1200,False
0.0360774024270252,1.0,0.0183700734802939,0.6463245492371706,0.6145377371004112,0.9913871851755188,7663,7663,7210,7539,mf_cat,cell,45,A,0.5,50,0.35,64,0.02,1200,False
0.89390756302521,0.9095119344495904,0.8788296041308089,0.93582295988935,0.9216205481265722,0.9403627822001828,7663,7663,7230,7553,mf_bin,cell,46,A,0.5,50,0.35,64,0.02,1200,False
0.0278249066847641,0.9761904761904762,0.0141135972461273,0.6561549100968188,0.6250496491460347,0.9925616599243116,7663,7663,7230,7553,mf_cat,cell,46,A,0.5,50,0.35,64,0.02,1200,False
0.8895439569967055,0.8971668415529905,0.8820495185694636,0.9322687224669604,0.917097758323385,0.9442776980294924,7663,7663,7264,7539,mf_bin,cell,42,A_strict,0.5,50,0.35,64,0.02,1200,True
0.894285192623699,0.9532892175943948,0.8421595598349381,0.9673733480176212,0.9254543042843878,0.9920396711470704,7663,7663,7264,7539,mf_cat,cell,42,A_strict,0.5,50,0.35,64,0.02,1200,True
0.8931544080176661,0.9062392278524648,0.8804420629604822,0.9328090507726268,0.9188079470198676,0.9414067597546651,7663,7663,7248,7550,mf_bin,cell,43,A_strict,0.5,50,0.35,64,0.02,1200,True
0.8937689698268166,0.95717017208413,0.8382451440053583,0.9668874172185432,0.9234437086092716,0.9913871851755188,7663,7663,7248,7550,mf_cat,cell,43,A_strict,0.5,50,0.35,64,0.02,1200,True
0.8822684852835606,0.8964259664478483,0.8685512367491166,0.931063122923588,0.9161581321305386,0.9402322850058724,7663,7663,7224,7538,mf_bin,cell,44,A_strict,0.5,50,0.35,64,0.02,1200,True
0.879773156899811,0.9459349593495936,0.82226148409894,0.9644241417497232,0.9193420005306449,0.9915176823698292,7663,7663,7224,7538,mf_cat,cell,44,A_strict,0.5,50,0.35,64,0.02,1200,True
0.8913895993179881,0.9104841518634622,0.8730794923179692,0.932732316227462,0.917097758323385,0.9390578102570796,7663,7663,7210,7539,mf_bin,cell,45,A_strict,0.5,50,0.35,64,0.02,1200,True
0.8844707146695325,0.9536500579374276,0.8246492985971944,0.9643550624133148,0.9174956890834328,0.9913871851755188,7663,7663,7210,7539,mf_cat,cell,45,A_strict,0.5,50,0.35,64,0.02,1200,True
0.89390756302521,0.9095119344495904,0.8788296041308089,0.93582295988935,0.9216205481265722,0.9403627822001828,7663,7663,7230,7553,mf_bin,cell,46,A_strict,0.5,50,0.35,64,0.02,1200,True
0.8886841135274604,0.9563665212217374,0.829948364888124,0.9687413554633472,0.9226797299086456,0.9925616599243116,7663,7663,7230,7553,mf_cat,cell,46,A_strict,0.5,50,0.35,64,0.02,1200,True
0.8370434920383427,0.8990810074880872,0.7830146731880836,0.8143192164436474,0.7875414181577204,0.9600678585410414,20405,7663,7249,7545,softimpute_bin,group,42,B,0.5,25,0.4,64,0.02,1200,False
0.8400686534560775,0.8868390709932465,0.7979842893137691,0.857083735687681,0.8111332007952287,1.0,20405,7663,7249,7545,softimpute_cat,group,42,B,0.5,25,0.4,64,0.02,1200,False
0.7812966601178781,0.8315490130478421,0.7367718986216096,0.7658987446544351,0.7337309476474486,0.964374265953282,20405,7663,7249,7545,knn_bin,group,42,B,0.5,25,0.4,64,0.02,1200,False
0.7805333126020367,0.8207979071288424,0.7440343856528827,0.7934887570699407,0.7508283631544069,1.0,20405,7663,7249,7545,knn_cat,group,42,B,0.5,25,0.4,64,0.02,1200,False
0.8360189573459715,0.8993881713120326,0.78099173553719,0.8126210905065043,0.7852038115404976,0.9579799034320762,20417,7663,7226,7556,softimpute_bin,group,43,B,0.5,25,0.4,64,0.02,1200,False
0.8330086495753136,0.8824500577843817,0.7888134592680047,0.8527539440907833,0.8046585494970884,1.0,20417,7663,7226,7556,softimpute_cat,group,43,B,0.5,25,0.4,64,0.02,1200,False
