representation,split,split_type,model,mae,brier,spearman_rho,kl
wals_s42_B_masked30,family_Dravidian,family,majority_per_config,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
wals_s42_B_masked30,family_Dravidian,family,family_mean,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
wals_s42_B_masked30,family_Dravidian,family,mlp,0.5302381179223309,0.3307464620029303,0.031210857839201144,0.8898594715932449
wals_s42_B_masked30,value_No_dom_order,value,zero_order_0.5,,,,
wals_s42_B_masked30,value_No_dom_order,value,majority_per_config,,,,
wals_s42_B_masked30,value_No_dom_order,value,family_mean,,,,
wals_s42_B_masked30,value_No_dom_order,value,mlp,,,,
wals_s42_B_masked30,value_No_dom_order_VOS_OVS,value,zero_order_0.5,,,,
wals_s42_B_masked30,value_No_dom_order_VOS_OVS,value,majority_per_config,,,,
wals_s42_B_masked30,value_No_dom_order_VOS_OVS,value,family_mean,,,,
wals_s42_B_masked30,value_No_dom_order_VOS_OVS,value,mlp,,,,
wals_s42_B_masked50,A_random,A,zero_order_0.5,0.3881195317158137,0.16845700171892558,,0.4313020846576995
wals_s42_B_masked50,A_random,A,majority_per_config,0.25993669175115125,0.10607793793218226,0.41696565444513173,0.2995248403366718
wals_s42_B_masked50,A_random,A,family_mean,0.19312965103555282,0.08969250969799492,0.6296859882749494,0.27771730973884357
wals_s42_B_masked50,A_random,A,mlp,0.38086498241365296,0.16276486698244255,0.42248540391458106,0.41991088838380586
wals_s42_B_masked50,family_Afro-Asiatic,family,zero_order_0.5,0.40589239584416476,0.18128385487273885,,0.47373865591463343
wals_s42_B_masked50,family_Afro-Asiatic,family,majority_per_config,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
wals_s42_B_masked50,family_Afro-Asiatic,family,family_mean,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
wals_s42_B_masked50,family_Afro-Asiatic,family,mlp,0.22919396237671372,0.07726894649963766,0.8022726007119687,0.24160136241929348
wals_s42_B_masked50,family_Indo-European,family,zero_order_0.5,0.3873809995952695,0.16815931160270361,,0.4283678969795859
wals_s42_B_masked50,family_Indo-European,family,majority_per_config,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
wals_s42_B_masked50,family_Indo-European,family,family_mean,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
wals_s42_B_masked50,family_Indo-European,family,mlp,0.3785271992127559,0.16289641089843063,-0.16195268576156993,0.41781908768323167
wals_s42_B_masked50,family_Uralic,family,zero_order_0.5,0.3498685503244127,0.14509476801241838,,0.3607520632527484
wals_s42_B_masked50,family_Uralic,family,majority_per_config,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
wals_s42_B_masked50,family_Uralic,family,family_mean,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
wals_s42_B_masked50,family_Uralic,family,mlp,0.29373373842709555,0.1560051248814629,0.13332718560955917,0.40688017619626815
wals_s42_B_masked50,family_Dravidian,family,zero_order_0.5,0.4801244830950946,0.23490214403226817,,0.6372856619416627
wals_s42_B_masked50,family_Dravidian,family,majority_per_config,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
wals_s42_B_masked50,family_Dravidian,family,family_mean,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
wals_s42_B_masked50,family_Dravidian,family,mlp,0.5553571149324229,0.3589710986913883,-0.012212944371861316,0.9247990411987382
wals_s42_B_masked50,value_No_dom_order,value,zero_order_0.5,,,,
wals_s42_B_masked50,value_No_dom_order,value,majority_per_config,,,,
wals_s42_B_masked50,value_No_dom_order,value,family_mean,,,,
wals_s42_B_masked50,value_No_dom_order,value,mlp,,,,
wals_s42_B_masked50,value_No_dom_order_VOS_OVS,value,zero_order_0.5,,,,
wals_s42_B_masked50,value_No_dom_order_VOS_OVS,value,majority_per_config,,,,
