glottocode,family_id,source
gube1234,atla1278,grambank
gude1246,afro1255,grambank
guer1241,utoa1244,grambank
guer1243,otom1299,grambank
gugu1253,pama1250,grambank
gugu1255,pama1250,grambank
guhu1244,nucl1709,grambank
guiq1238,sino1245,grambank
gulf1241,afro1255,grambank
guma1254,aust1307,grambank
gumu1244,gumu1250,grambank
gung1248,pama1250,grambank
gunw1252,gunw1250,grambank
guny1241,pama1250,grambank
gura1251,indo1319,grambank
gure1255,pama1250,grambank
guro1248,mand1469,grambank
guru1261,sino1245,grambank
guru1271,afro1255,grambank
gusi1247,atla1278,grambank
guwi1238,worr1236,grambank
gwen1239,atla1278,grambank
gyel1242,atla1278,grambank
haaa1252,atla1278,grambank
hadi1240,afro1255,grambank
haio1238,khoe1240,grambank
hait1244,indo1319,grambank
haka1240,sino1245,grambank
hakk1236,sino1245,grambank
hala1252,aust1305,grambank
halh1238,mong1349,grambank
hali1244,aust1307,grambank
halk1245,sali1255,grambank
hame1242,sout2845,grambank
hang1263,nduu1242,grambank
hani1248,sino1245,grambank
hano1246,aust1307,grambank
haro1237,aust1307,grambank
haru1245,piaw1238,grambank
hass1238,afro1255,grambank
hata1243,hata1242,grambank
haus1257,afro1255,grambank
hava1248,coch1271,grambank
hawa1245,aust1307,grambank
hdii1240,afro1255,grambank
hebr1245,afro1255,grambank
hehe1240,atla1278,grambank
heil1246,waka1280,grambank
here1253,atla1278,grambank
hert1241,afro1255,grambank
hida1246,siou1252,grambank
hier1240,indo1319,grambank
high1243,toto1251,grambank
high1276,mixe1284,grambank
high1278,utoa1244,grambank
hili1240,aust1307,grambank
hind1269,indo1319,grambank
hinu1240,nakh1245,grambank
hixk1239,cari1283,grambank
hlai1239,taik1256,grambank
hler1235,sino1245,grambank
hoaa1235,kxaa1236,grambank
hoav1238,aust1307,grambank
holo1240,atla1278,grambank
homa1239,atla1278,grambank
hone1235,atla1278,grambank
honi1244,sino1245,grambank
hooo1248,aust1305,grambank
hote1245,aust1307,grambank
hozo1236,maoo1243,grambank
huaa1248,tuuu1241,grambank
huaa1250,nucl1709,grambank
hual1240,sino1245,grambank
hual1241,quec1387,grambank
huam1247,jiva1245,grambank
huar1255,utoa1244,grambank
huas1242,maya1287,grambank
huba1236,afro1255,grambank
huic1243,utoa1244,grambank
huih1238,tung1282,grambank
hula1239,aust1307,grambank
hula1244,afro1255,grambank
huli1244,nucl1709,grambank
humb1243,song1307,grambank
hung1274,ural1272,grambank
hung1275,aust1305,grambank
hunz1247,nakh1245,grambank
hupd1244,nada1235,grambank
hurr1240,hurr1239,grambank
huuu1240,aust1305,grambank
hyam1245,atla1278,grambank
iaai1238,aust1307,grambank
iama1237,aust1307,grambank
iatm1242,nduu1242,grambank
ibal1244,aust1307,grambank
iban1264,aust1307,grambank
iban1267,aust1307,grambank
ibat1238,aust1307,grambank
ibib1240,atla1278,grambank
icar1234,nakh1245,grambank
icel1247,indo1319,grambank
idaa1241,aust1307,grambank
idii1243,paho1240,grambank
idom1241,atla1278,grambank
idum1241,sino1245,grambank
idun1242,aust1307,grambank
igna1246,araw1281,grambank
ikem1234,japo1237,grambank
ikkk1242,kuli1252,grambank
ilaa1246,atla1278,grambank
ilia1236,aust1307,grambank
iliu1237,aust1307,grambank
ilok1237,aust1307,grambank
ilon1239,aust1307,grambank
